❯ python train_cifar100_resnet_v3.py --arch resnet18 --epochs 130 --batch-size 256 --max-lr 0.4 --pct-start 0.3 --div-factor 25 --final-div-factor 10000 --weight-decay 5e-4 --label-smoothing 0.05 --autoaugment --cutmix-prob 0.5 --cutmix-alpha 1.0 --random-erasing 0.0 --ema 0.999 --nesterov
Files already downloaded and verified
Files already downloaded and verified
Epoch 058/130 | train: loss 2.670 acc 41.65% | val: loss 1.299 acc 65.13% | best: 66.00%
Epoch 059/130 | train: loss 2.735 acc 40.10% | val: loss 1.402 acc 61.70% | best: 66.00%
Epoch 060/130 | train: loss 2.669 acc 41.68% | val: loss 1.829 acc 52.60% | best: 66.00%
Epoch 061/130 | train: loss 2.642 acc 42.12% | val: loss 1.475 acc 60.56% | best: 66.00%
Epoch 062/130 | train: loss 2.555 acc 43.74% | val: loss 1.468 acc 61.13% | best: 66.00%
Epoch 063/130 | train: loss 2.573 acc 43.56% | val: loss 1.212 acc 66.26% | best: 66.26%
Epoch 064/130 | train: loss 2.596 acc 43.28% | val: loss 1.221 acc 66.17% | best: 66.26%
Epoch 065/130 | train: loss 2.621 acc 42.79% | val: loss 1.262 acc 65.69% | best: 66.26%
Epoch 066/130 | train: loss 2.661 acc 42.03% | val: loss 1.304 acc 64.38% | best: 66.26%
Epoch 067/130 | train: loss 2.597 acc 43.17% | val: loss 1.475 acc 59.75% | best: 66.26%
Epoch 068/130 | train: loss 2.630 acc 42.32% | val: loss 1.185 acc 67.03% | best: 67.03%
Epoch 069/130 | train: loss 2.634 acc 42.43% | val: loss 1.244 acc 65.54% | best: 67.03%
Epoch 070/130 | train: loss 2.666 acc 41.89% | val: loss 1.538 acc 58.74% | best: 67.03%
Epoch 071/130 | train: loss 2.677 acc 41.84% | val: loss 1.254 acc 65.14% | best: 67.03%
Epoch 072/130 | train: loss 2.600 acc 43.52% | val: loss 1.311 acc 63.22% | best: 67.03%
Epoch 073/130 | train: loss 2.598 acc 43.67% | val: loss 1.656 acc 56.58% | best: 67.03%
Epoch 074/130 | train: loss 2.623 acc 42.62% | val: loss 1.229 acc 66.12% | best: 67.03%
