name,shape,numel,dtype
layer3.5.bn3.running_var,"(1024,)",1024,torch.float32
layer3.4.bn3.bias,"(1024,)",1024,torch.float32
layer3.1.bn3.weight,"(1024,)",1024,torch.float32
layer3.1.bn3.bias,"(1024,)",1024,torch.float32
layer3.4.bn3.weight,"(1024,)",1024,torch.float32
layer3.0.bn3.running_var,"(1024,)",1024,torch.float32
fc.bias,"(1000,)",1000,torch.float32
layer2.3.bn3.running_mean,"(512,)",512,torch.float32
layer2.2.bn3.running_var,"(512,)",512,torch.float32
layer4.0.bn2.running_var,"(512,)",512,torch.float32
layer4.0.bn2.running_mean,"(512,)",512,torch.float32
layer4.0.bn2.bias,"(512,)",512,torch.float32
layer4.0.bn2.weight,"(512,)",512,torch.float32
layer4.0.bn1.running_mean,"(512,)",512,torch.float32
layer4.0.bn1.bias,"(512,)",512,torch.float32
layer2.3.bn3.weight,"(512,)",512,torch.float32
layer2.3.bn3.bias,"(512,)",512,torch.float32
layer2.3.bn3.running_var,"(512,)",512,torch.float32
layer2.2.bn3.bias,"(512,)",512,torch.float32
layer4.0.bn1.weight,"(512,)",512,torch.float32
layer2.0.downsample.1.running_var,"(512,)",512,torch.float32
layer2.0.downsample.1.running_mean,"(512,)",512,torch.float32
layer2.0.downsample.1.bias,"(512,)",512,torch.float32
layer2.0.downsample.1.weight,"(512,)",512,torch.float32
layer2.0.bn3.running_var,"(512,)",512,torch.float32
layer2.0.bn3.running_mean,"(512,)",512,torch.float32
layer2.0.bn3.bias,"(512,)",512,torch.float32
layer2.0.bn3.weight,"(512,)",512,torch.float32
layer2.2.bn3.running_mean,"(512,)",512,torch.float32
layer4.0.bn1.running_var,"(512,)",512,torch.float32
layer2.2.bn3.weight,"(512,)",512,torch.float32
layer4.1.bn2.bias,"(512,)",512,torch.float32
layer2.1.bn3.bias,"(512,)",512,torch.float32
layer2.1.bn3.weight,"(512,)",512,torch.float32
layer2.1.bn3.running_var,"(512,)",512,torch.float32
layer4.2.bn2.bias,"(512,)",512,torch.float32
layer4.2.bn2.running_mean,"(512,)",512,torch.float32
layer4.2.bn2.running_var,"(512,)",512,torch.float32
layer4.2.bn2.weight,"(512,)",512,torch.float32
layer4.2.bn1.running_var,"(512,)",512,torch.float32
layer4.2.bn1.running_mean,"(512,)",512,torch.float32
layer4.2.bn1.bias,"(512,)",512,torch.float32
layer4.2.bn1.weight,"(512,)",512,torch.float32
layer4.1.bn2.running_var,"(512,)",512,torch.float32
layer4.1.bn2.running_mean,"(512,)",512,torch.float32
layer2.1.bn3.running_mean,"(512,)",512,torch.float32
layer4.1.bn2.weight,"(512,)",512,torch.float32
layer4.1.bn1.running_var,"(512,)",512,torch.float32
layer4.1.bn1.running_mean,"(512,)",512,torch.float32
layer4.1.bn1.bias,"(512,)",512,torch.float32
layer4.1.bn1.weight,"(512,)",512,torch.float32
layer3.4.bn1.running_mean,"(256,)",256,torch.float32
layer3.2.bn1.weight,"(256,)",256,torch.float32
layer3.1.bn2.running_mean,"(256,)",256,torch.float32
layer3.1.bn2.running_var,"(256,)",256,torch.float32
layer3.4.bn1.bias,"(256,)",256,torch.float32
layer3.4.bn1.running_var,"(256,)",256,torch.float32
layer1.1.bn3.running_var,"(256,)",256,torch.float32
layer3.2.bn1.bias,"(256,)",256,torch.float32
layer3.4.bn2.running_mean,"(256,)",256,torch.float32
layer3.4.bn2.bias,"(256,)",256,torch.float32
layer3.4.bn2.weight,"(256,)",256,torch.float32
layer3.4.bn2.running_var,"(256,)",256,torch.float32
layer3.2.bn2.bias,"(256,)",256,torch.float32
layer3.2.bn1.running_mean,"(256,)",256,torch.float32
layer3.2.bn1.running_var,"(256,)",256,torch.float32
layer3.3.bn1.weight,"(256,)",256,torch.float32
layer3.3.bn2.weight,"(256,)",256,torch.float32
layer3.3.bn2.bias,"(256,)",256,torch.float32
layer1.2.bn3.weight,"(256,)",256,torch.float32
layer1.2.bn3.bias,"(256,)",256,torch.float32
layer1.2.bn3.running_mean,"(256,)",256,torch.float32
layer1.2.bn3.running_var,"(256,)",256,torch.float32
layer3.1.bn2.weight,"(256,)",256,torch.float32
layer3.3.bn2.running_mean,"(256,)",256,torch.float32
layer3.2.bn2.running_var,"(256,)",256,torch.float32
layer3.2.bn2.running_mean,"(256,)",256,torch.float32
layer3.3.bn1.bias,"(256,)",256,torch.float32
layer3.2.bn2.weight,"(256,)",256,torch.float32
layer3.3.bn2.running_var,"(256,)",256,torch.float32
layer3.4.bn1.weight,"(256,)",256,torch.float32
layer3.1.bn2.bias,"(256,)",256,torch.float32
layer3.0.bn2.running_mean,"(256,)",256,torch.float32
layer1.1.bn3.running_mean,"(256,)",256,torch.float32
layer1.1.bn3.bias,"(256,)",256,torch.float32
layer1.0.bn3.weight,"(256,)",256,torch.float32
layer1.0.bn3.bias,"(256,)",256,torch.float32
layer1.0.bn3.running_mean,"(256,)",256,torch.float32
layer1.0.bn3.running_var,"(256,)",256,torch.float32
layer1.0.downsample.1.weight,"(256,)",256,torch.float32
layer1.0.downsample.1.bias,"(256,)",256,torch.float32
layer1.0.downsample.1.running_mean,"(256,)",256,torch.float32
layer1.0.downsample.1.running_var,"(256,)",256,torch.float32
layer3.0.bn1.weight,"(256,)",256,torch.float32
layer3.0.bn1.bias,"(256,)",256,torch.float32
layer3.0.bn1.running_mean,"(256,)",256,torch.float32
layer3.0.bn1.running_var,"(256,)",256,torch.float32
layer3.5.bn2.running_var,"(256,)",256,torch.float32
layer3.0.bn2.weight,"(256,)",256,torch.float32
layer3.0.bn2.bias,"(256,)",256,torch.float32
layer3.3.bn1.running_var,"(256,)",256,torch.float32
layer3.0.bn2.running_var,"(256,)",256,torch.float32
layer3.5.bn2.running_mean,"(256,)",256,torch.float32
layer3.5.bn2.bias,"(256,)",256,torch.float32
layer3.5.bn2.weight,"(256,)",256,torch.float32
layer3.5.bn1.running_var,"(256,)",256,torch.float32
layer3.5.bn1.running_mean,"(256,)",256,torch.float32
layer3.5.bn1.bias,"(256,)",256,torch.float32
layer3.5.bn1.weight,"(256,)",256,torch.float32
layer1.1.bn3.weight,"(256,)",256,torch.float32
layer3.1.bn1.weight,"(256,)",256,torch.float32
layer3.1.bn1.bias,"(256,)",256,torch.float32
layer3.1.bn1.running_mean,"(256,)",256,torch.float32
layer3.1.bn1.running_var,"(256,)",256,torch.float32
layer3.3.bn1.running_mean,"(256,)",256,torch.float32
layer2.1.bn2.running_mean,"(128,)",128,torch.float32
layer2.1.bn2.bias,"(128,)",128,torch.float32
layer2.0.bn2.weight,"(128,)",128,torch.float32
layer2.1.bn1.bias,"(128,)",128,torch.float32
layer2.2.bn2.running_var,"(128,)",128,torch.float32
layer2.0.bn2.running_mean,"(128,)",128,torch.float32
layer2.2.bn2.running_mean,"(128,)",128,torch.float32
layer2.0.bn2.bias,"(128,)",128,torch.float32
layer2.2.bn2.bias,"(128,)",128,torch.float32
layer2.2.bn2.weight,"(128,)",128,torch.float32
layer2.1.bn1.running_var,"(128,)",128,torch.float32
layer2.0.bn2.running_var,"(128,)",128,torch.float32
layer2.2.bn1.running_var,"(128,)",128,torch.float32
layer2.0.bn1.running_var,"(128,)",128,torch.float32
layer2.0.bn1.running_mean,"(128,)",128,torch.float32
layer2.3.bn1.weight,"(128,)",128,torch.float32
layer2.3.bn1.bias,"(128,)",128,torch.float32
layer2.0.bn1.bias,"(128,)",128,torch.float32
layer2.3.bn1.running_mean,"(128,)",128,torch.float32
layer2.0.bn1.weight,"(128,)",128,torch.float32
layer2.3.bn1.running_var,"(128,)",128,torch.float32
layer2.2.bn1.running_mean,"(128,)",128,torch.float32
layer2.2.bn1.bias,"(128,)",128,torch.float32
layer2.2.bn1.weight,"(128,)",128,torch.float32
layer2.1.bn1.weight,"(128,)",128,torch.float32
layer2.1.bn2.weight,"(128,)",128,torch.float32
layer2.1.bn2.running_var,"(128,)",128,torch.float32
layer2.3.bn2.weight,"(128,)",128,torch.float32
layer2.3.bn2.bias,"(128,)",128,torch.float32
layer2.3.bn2.running_mean,"(128,)",128,torch.float32
layer2.3.bn2.running_var,"(128,)",128,torch.float32
layer2.1.bn1.running_mean,"(128,)",128,torch.float32
layer1.1.bn1.weight,"(64,)",64,torch.float32
layer1.2.bn2.running_mean,"(64,)",64,torch.float32
layer1.2.bn2.running_var,"(64,)",64,torch.float32
layer1.1.bn1.running_var,"(64,)",64,torch.float32
layer1.0.bn2.running_var,"(64,)",64,torch.float32
layer1.0.bn2.running_mean,"(64,)",64,torch.float32
layer1.0.bn2.bias,"(64,)",64,torch.float32
layer1.0.bn2.weight,"(64,)",64,torch.float32
layer1.0.bn1.running_var,"(64,)",64,torch.float32
layer1.0.bn1.running_mean,"(64,)",64,torch.float32
layer1.0.bn1.bias,"(64,)",64,torch.float32
layer1.0.bn1.weight,"(64,)",64,torch.float32
bn1.running_var,"(64,)",64,torch.float32
bn1.running_mean,"(64,)",64,torch.float32
bn1.bias,"(64,)",64,torch.float32
layer1.1.bn1.running_mean,"(64,)",64,torch.float32
layer1.1.bn1.bias,"(64,)",64,torch.float32
layer1.1.bn2.running_var,"(64,)",64,torch.float32
layer1.2.bn1.bias,"(64,)",64,torch.float32
layer1.1.bn2.weight,"(64,)",64,torch.float32
layer1.2.bn1.running_var,"(64,)",64,torch.float32
layer1.2.bn1.weight,"(64,)",64,torch.float32
layer1.2.bn1.running_mean,"(64,)",64,torch.float32
layer1.1.bn2.bias,"(64,)",64,torch.float32
layer1.2.bn2.weight,"(64,)",64,torch.float32
layer1.1.bn2.running_mean,"(64,)",64,torch.float32
bn1.weight,"(64,)",64,torch.float32
layer1.2.bn2.bias,"(64,)",64,torch.float32
layer3.3.bn3.num_batches_tracked,(),1,torch.int64
layer1.0.bn1.num_batches_tracked,(),1,torch.int64
layer4.1.bn3.num_batches_tracked,(),1,torch.int64
layer4.2.bn1.num_batches_tracked,(),1,torch.int64
layer3.2.bn1.num_batches_tracked,(),1,torch.int64
layer3.1.bn3.num_batches_tracked,(),1,torch.int64
layer3.4.bn1.num_batches_tracked,(),1,torch.int64
layer4.1.bn2.num_batches_tracked,(),1,torch.int64
layer2.1.bn1.num_batches_tracked,(),1,torch.int64
layer1.1.bn1.num_batches_tracked,(),1,torch.int64
layer1.2.bn1.num_batches_tracked,(),1,torch.int64
layer2.1.bn3.num_batches_tracked,(),1,torch.int64
layer2.2.bn1.num_batches_tracked,(),1,torch.int64
layer2.1.bn2.num_batches_tracked,(),1,torch.int64
layer4.2.bn2.num_batches_tracked,(),1,torch.int64
layer3.3.bn2.num_batches_tracked,(),1,torch.int64
layer1.2.bn3.num_batches_tracked,(),1,torch.int64
bn1.num_batches_tracked,(),1,torch.int64
layer3.2.bn2.num_batches_tracked,(),1,torch.int64
layer1.2.bn2.num_batches_tracked,(),1,torch.int64
layer4.2.bn3.num_batches_tracked,(),1,torch.int64
layer3.2.bn3.num_batches_tracked,(),1,torch.int64
layer2.0.bn1.num_batches_tracked,(),1,torch.int64
layer1.0.bn2.num_batches_tracked,(),1,torch.int64
layer3.4.bn2.num_batches_tracked,(),1,torch.int64
layer4.0.bn3.num_batches_tracked,(),1,torch.int64
layer2.3.bn3.num_batches_tracked,(),1,torch.int64
layer2.0.downsample.1.num_batches_tracked,(),1,torch.int64
layer2.3.bn2.num_batches_tracked,(),1,torch.int64
layer4.0.bn1.num_batches_tracked,(),1,torch.int64
layer3.5.bn2.num_batches_tracked,(),1,torch.int64
layer3.0.bn1.num_batches_tracked,(),1,torch.int64
layer3.0.bn2.num_batches_tracked,(),1,torch.int64
layer2.0.bn3.num_batches_tracked,(),1,torch.int64
layer4.0.bn2.num_batches_tracked,(),1,torch.int64
layer1.0.downsample.1.num_batches_tracked,(),1,torch.int64
layer2.3.bn1.num_batches_tracked,(),1,torch.int64
layer3.5.bn1.num_batches_tracked,(),1,torch.int64
layer3.0.bn3.num_batches_tracked,(),1,torch.int64
layer1.1.bn3.num_batches_tracked,(),1,torch.int64
layer1.0.bn3.num_batches_tracked,(),1,torch.int64
layer2.0.bn2.num_batches_tracked,(),1,torch.int64
layer3.0.downsample.1.num_batches_tracked,(),1,torch.int64
layer2.2.bn3.num_batches_tracked,(),1,torch.int64
layer4.0.downsample.1.num_batches_tracked,(),1,torch.int64
layer1.1.bn2.num_batches_tracked,(),1,torch.int64
layer2.2.bn2.num_batches_tracked,(),1,torch.int64
layer3.4.bn3.num_batches_tracked,(),1,torch.int64
layer3.1.bn1.num_batches_tracked,(),1,torch.int64
layer3.1.bn2.num_batches_tracked,(),1,torch.int64
layer4.1.bn1.num_batches_tracked,(),1,torch.int64
layer3.5.bn3.num_batches_tracked,(),1,torch.int64
layer3.3.bn1.num_batches_tracked,(),1,torch.int64
